xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_363,2017-08-02,13.42,,,,22075
detail_364,2014-12-24,7.84,,,,9736
detail_365,2012-09-26,29.63,,,,9736
detail_366,2009-01-28,9,,,,9736
detail_367,2012-09-26,103.43,,,,9736
detail_368,2017-05-30,2.86,,,,12659
detail_369,2013-12-06,50.16,,,,12659
detail_370,2020-07-02,8.19,,,,10208
detail_371,2016-10-25,2.48,,,,19466
detail_372,2017-01-27,14,,,,22087
detail_373,2020-04-20,5.04,,,,12276
detail_374,2010-12-14,1.67,,,,11936
detail_375,2012-08-08,1.8,,,,11936
detail_376,2017-03-23,6.9,,,,22142
detail_377,2017-03-31,4.8,,,,12277
detail_378,2015-11-24,4.37,,,,12679
detail_379,2019-05-14,32.41,,,,9450
detail_380,2013-12-17,0.84,,,,22495
detail_381,2016-12-13,2.7,,,,9885
detail_382,2011-03-01,4.9,,,,9885
detail_383,2016-12-09,2.7,,,,10573
detail_384,2017-12-01,6.3,,,,12113
detail_385,2019-05-27,7,,,,9497
detail_386,2017-03-21,2.64,,,,16568
detail_387,2012-05-04,56.2,,,,23042
detail_388,2015-03-26,82.6,,,,23042
detail_389,2016-09-28,0.22,,,,11187
detail_390,2015-09-24,13.32,,,,23138
detail_391,2019-05-24,0.15,,,,11188
detail_392,2016-12-20,5.16,,,,10861
detail_393,2017-09-29,5.52,,,,15688
detail_394,2019-07-15,0.3,,,,11181
detail_395,2020-08-19,98,,,,22374
detail_396,2014-01-20,2.42,,,,11197
detail_397,2014-09-24,5.06,,,,18316
detail_398,2020-12-18,14.28,,,,22485
detail_399,2015-09-30,173.84,,,,22525
detail_400,2016-12-23,15.16,,,,22535
detail_401,2016-03-09,70.3,,,,22546
detail_402,2011-04-29,20.5,,,,22546
detail_403,2016-03-10,15.9,,,,22546
detail_404,2015-03-20,8.18,,,,13093
detail_405,2018-11-14,1.98,,,,23415
detail_406,2015-10-05,5.32,,,,25976
detail_407,2017-09-03,7.98,,,,22721
detail_408,2015-03-23,5.45,,,,22721
detail_409,2014-10-01,1.05,,,,12146
detail_410,2020-05-12,36,,,,22993
detail_411,2016-07-05,56.1,,,,23004
detail_412,2022-03-16,791.54,,,,23066
detail_413,2016-02-23,936.3,,,,23086
detail_414,2012-08-10,8.97,,,,19696
detail_415,2016-07-05,2.6,,,,19696
detail_416,2017-09-08,1.18,,,,19696
detail_417,2012-03-09,1.8,,,,23293
detail_418,2017-06-30,2.52,,,,23293
detail_419,2018-04-07,0.9,,,,24229
detail_420,2020-11-11,10,,,,14649
detail_421,2014-10-14,1.87,,,,23334
detail_422,2016-07-28,1.73,,,,19065
detail_423,2017-11-29,1.61,,,,23563
detail_424,2014-12-15,4.86,,,,11110
detail_425,2017-12-19,99.2,,,,23570
detail_426,2021-03-17,289,,,,9617
detail_427,2015-06-15,35.95,,,,23616
detail_428,2020-10-22,1.3,,,,11612
detail_429,2017-12-05,2.28,,,,22726
detail_430,2015-06-23,5.88,,,,26216
detail_431,2022-06-20,3,,,,12132
detail_432,2014-10-02,11.66,,,,22786
detail_433,2016-03-22,22.5,,,,22825
detail_434,2014-12-03,30.6,,,,22856
detail_435,2018-08-23,21,,,,11620
detail_436,2015-03-30,5.8,,,,11404
detail_437,2020-12-11,9.52,,,,11429
detail_438,2017-11-22,1.84,,,,20336
detail_439,2015-09-30,8.58,,,,23286
detail_440,2018-04-09,1.13,,,,23353
detail_441,2015-03-20,56.61,,,,23475
detail_442,2012-12-27,44.44,,,,23475
detail_443,2017-11-22,2.69,,,,19527
detail_444,2016-03-09,4.56,,,,23564
detail_445,2014-07-18,9.06,,,,23564
detail_446,2019-07-09,1.58,,,,23600
detail_447,2015-03-03,56.2,,,,23814
